Sentence	MOR_Tier	Error_Type
just want put it <on my> [//] on top of one put it there .	adv|just verb|want-Fin-Imp-S verb|put-Inf-S pron|it-Prs-Acc-S3 adp|on noun|top adp|of num|one verb|put-Fin-Ind-S pron|it-Prs-Acc-S3 adv|there .	No_Error_Detected
I know I [/] I haven't xxx this tractor yet .	pron|I-Prs-Nom-S1 verb|know-Fin-Ind-Pres-S1 pron|I-Prs-Nom-S1 aux|have-Fin-Ind-Pres-S1~part|not det|this-Def-Dem-Sing noun|tractor-Acc adv|yet .	No_Error_Detected
mum am gonna put that there .	noun|mum aux|be-Fin-Ind-Pres-S1 adv|gonna verb|put-Part-Past-S-irr pron|that-Dem adv|there .	No_Error_Detected
and am just going xxx one more time .	cconj|and aux|be-Fin-Ind-Pres-S1 adv|just verb|go-Part-Pres-S num|one adj|more-Cmp-S1 noun|time-Acc .	No_Error_Detected
I know just one more time .	pron|I-Prs-Nom-S1 verb|know-Fin-Ind-Pres-S1 adv|just num|one adj|more-Cmp-S1 noun|time .	No_Error_Detected
I won't .	pron|I-Prs-Nom-S1 aux|will-Fin-S~part|not .	No_Error_Detected
just one more time .	adv|just num|one adj|more-Cmp-S1 noun|time .	No_Error_Detected
did hear me ?	aux|do-Fin-Ind-Past-S3-irr verb|hear-Inf-S pron|I-Prs-Acc-S1 ?	No_Error_Detected
where's daddy going ?	adv|where~aux|be-Fin-Ind-Pres-S3 noun|daddy verb|go-Part-Pres-S ?	No_Error_Detected
I'm hungry .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adj|hungry-S1 .	No_Error_Detected
mummy I'm gonna have a go of here now .	noun|mummy pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adv|gonna verb|have-Inf-S det|a-Ind-Art noun|go-Acc adp|of adv|here adv|now .	No_Error_Detected
mum &-er I know who's gonna empty bin .	noun|mum pron|I-Prs-Nom-S1 verb|know-Fin-Ind-Pres-S1 pron|who-Int~aux|be-Fin-Ind-Pres-S3 part|go adj|empty-S1 propn|bin .	No_Error_Detected
&-er no am not but I was just tell [//] holding that on .	intj|no aux|be-Fin-Ind-Pres-S1 part|not cconj|but pron|I-Prs-Nom-S1 aux|be-Fin-Ind-Past-S1-irr adv|just verb|hold-Part-Pres-S pron|that-Dem adp|on .	No_Error_Detected
make sure Tate [: Kate] doesn't tome [: come] in .	verb|make-Fin-Imp-S adj|sure-S1 propn|Kate aux|do-Fin-Ind-Pres-S3~part|not verb|come-Inf-S adp|in .	No_Error_Detected
where are they ?	adv|where aux|be-Fin-Ind-Pres-P3 pron|they-Prs-Nom-P3 ?	No_Error_Detected
oh thought <it was> [/] it was Tate [: Kate] .	intj|oh verb|think-Fin-Ind-Past-S1-irr pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3-irr propn|Kate .	No_Error_Detected
thought it was xxx .	verb|think-Fin-Ind-Past-S1-irr pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3-irr .	No_Error_Detected
did you hide them ?	aux|do-Fin-Ind-Past-S2-irr pron|you-Prs-Nom-S2 verb|hide-Inf-S pron|they-Prs-Acc-P3 ?	No_Error_Detected
did you ?	aux|do-Fin-Ind-Past-S2-irr pron|you-Prs-Nom-S2 ?	No_Error_Detected
I didn't hear (th)em say that .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Past-S1-irr~part|not verb|hear-Inf-S pron|they-Prs-Acc-P3 verb|say-Inf-S pron|that-Dem .	No_Error_Detected
can I flush the toilet ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|flush-Inf-S det|the-Def-Art noun|toilet-Acc ?	No_Error_Detected
it's time have &-er dinner mum .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 noun|time verb|have-Fin-Ind-Pres-P3 noun|dinner noun|mum-Acc .	No_Error_Detected
oh &-um he going have his dinner as well !	intj|oh pron|he-Prs-Nom-S3 verb|go-Part-Pres-S verb|have-Inf-S pron|his-Prs-Gen-S3 noun|dinner-Acc adv|as adv|well !	No_Error_Detected
&-um might [//] they might have it on the floor .	pron|they-Prs-Nom-P3 aux|might-Fin-S verb|have-Inf-S pron|it-Prs-Acc-S3 adp|on det|the-Def-Art noun|floor .	No_Error_Detected
he shouldn't .	pron|he-Prs-Nom-S3 aux|should-Fin-S~part|not .	No_Error_Detected
was she ?	aux|be-Fin-Ind-Past-S3-irr pron|she-Prs-Nom-S3 ?	No_Error_Detected
mummy <don't say you wouldn't> [//] don't say you didn't hide them .	noun|mummy aux|do-Fin-Imp-S~part|not verb|say-Fin-Imp-S pron|you-Prs-Nom-S2 aux|do-Fin-Ind-Past-S2-irr~part|not verb|hide-Inf-S pron|they-Prs-Acc-P3 .	No_Error_Detected
did they ?	aux|do-Fin-Ind-Past-P3-irr pron|they-Prs-Nom-P3 ?	No_Error_Detected
don't know when bin men is tomin [: coming] .	aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S adv|when propn|bin noun|man-Plur aux|be-Fin-Ind-Pres-S3 verb|come-Part-Pres-S .	No_Error_Detected
but they're late !	cconj|but pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adj|late-S1 !	No_Error_Detected
who does ?	pron|who-Int aux|do-Fin-Ind-Pres-S3 ?	No_Error_Detected
mummy a man ha(s) left the tractor there .	noun|mummy det|a-Ind-Art noun|man aux|have-Fin-Ind-Pres-S3 verb|leave-Part-Past-S-irr det|the-Def-Art noun|tractor-Acc adv|there .	No_Error_Detected
what are they having ?	pron|what-Int-S1 aux|be-Fin-Ind-Pres-P3 pron|they-Prs-Nom-P3 verb|have-Part-Pres-S ?	No_Error_Detected
<what does that> [/] what does that say on his hat ?	pron|what-Int-S1 aux|do-Fin-Ind-Pres-S3 pron|that-Dem verb|say-Inf-S adp|on pron|his-Prs-Gen-S3 noun|hat ?	No_Error_Detected
that how you play [: say] it ?	sconj|that adv|how pron|you-Prs-Nom-S2 verb|say-Fin-Ind-Pres-S2 pron|it-Prs-Acc-S3 ?	No_Error_Detected
mhm I can see them and his mouth .	intj|mhm pron|I-Prs-Nom-S1 aux|can-Fin-S verb|see-Inf-S pron|they-Prs-Acc-P3 cconj|and pron|his-Prs-Gen-S3 noun|mouth .	No_Error_Detected
how do you put his hat back on ?	adv|how aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|put-Inf-S pron|his-Prs-Gen-S3 noun|hat-Acc adv|back adp|on ?	No_Error_Detected
wrong way round .	adj|wrong-S1 noun|way adv|round .	No_Error_Detected
what did you say ?	pron|what-Int-S1 aux|do-Fin-Ind-Past-S2-irr pron|you-Prs-Nom-S2 verb|say-Inf-S ?	No_Error_Detected
who knocked all people over ?	pron|who-Rel verb|knock-Fin-Ind-Past-S3 det|all-Def-Tot noun|person-Plur-Acc adv|over ?	No_Error_Detected
I didn't .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Past-S1-irr~part|not .	No_Error_Detected
baby's &-er a baby's not happy .	noun|baby~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|baby~aux|be-Fin-Ind-Pres-S3 part|not adj|happy-S1 .	No_Error_Detected
just not <I don't> [/] I don't know why .	adv|just part|not pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S adv|why .	No_Error_Detected
mum he can't sit up .	noun|mum pron|he-Prs-Nom-S3 aux|can-Fin-S~part|not verb|sit-Inf-S adp|up .	No_Error_Detected
oh he can now .	intj|oh pron|he-Prs-Nom-S3 aux|can-Fin-S adv|now .	No_Error_Detected
&~a:h &~a:h (.) he's got his shoes on .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|get-Part-Past-S-irr pron|his-Prs-Gen-S3 noun|shoe-Plur-Acc adp|on .	No_Error_Detected
she hasn't .	pron|she-Prs-Nom-S3 aux|have-Fin-Ind-Pres-S3~part|not .	No_Error_Detected
hasn't mum .	aux|have-Fin-Ind-Pres-S3~part|not noun|mum-Acc .	No_Error_Detected
pull them really hard .	verb|pull-Fin-Imp-S pron|they-Prs-Acc-P3 adv|really adj|hard-S1 .	No_Error_Detected
he's lost .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|lose-Part-Past-S-irr .	No_Error_Detected
can't hear him ?	aux|can-Fin-S~part|not verb|hear-Inf-Imp-S pron|he-Prs-Acc-S3 ?	No_Error_Detected
he's lost mum .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|lose-Part-Past-S-irr noun|mum-Acc .	No_Error_Detected
don't wanna look them .	aux|do-Fin-Imp-S~part|not intj|wanna verb|look-Fin-Imp-S pron|they-Prs-Acc-P3 .	No_Error_Detected
don't wanna play with this any more .	aux|do-Fin-Imp-S~part|not part|wana verb|play-Fin-Imp-S adp|with pron|this-Dem-S1 det|any-Def-Ind adj|more-Cmp-S1 .	No_Error_Detected
they're all taking all their hats off .	pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|all verb|take-Part-Pres-S det|all-Def-Tot pron|their-Prs-Gen-P3 noun|hat-Plur-Acc adp|off .	No_Error_Detected
they're all taking their hats off .	pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|all verb|take-Part-Pres-S pron|their-Prs-Gen-P3 noun|hat-Plur-Acc adp|off .	No_Error_Detected
they're xxx .	pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 .	No_Error_Detected
I might play &-er big mouse .	pron|I-Prs-Nom-S1 aux|might-Fin-S verb|play-Inf-S adj|big-S1 noun|mouse-Acc .	No_Error_Detected
I will show you in a minute .	pron|I-Prs-Nom-S1 aux|will-Fin-S verb|show-Inf-S pron|you-Prs-Acc-S2 adp|in det|a-Ind-Art noun|minute .	No_Error_Detected
I will show you now .	pron|I-Prs-Nom-S1 aux|will-Fin-S verb|show-Inf-S pron|you-Prs-Acc-S2 adv|now .	No_Error_Detected
he doesn't stand up .	pron|he-Prs-Nom-S3 aux|do-Fin-Ind-Pres-S3~part|not verb|stand-Inf-S adp|up .	No_Error_Detected
he doesn't (.) that's his bum .	pron|he-Prs-Nom-S3 aux|do-Fin-Ind-Pres-S3~part|not pron|that-Dem~aux|be-Fin-Ind-Pres-S3 pron|his-Prs-Gen-S3 noun|bum .	No_Error_Detected
where's her willie ?	adv|where~aux|be-Fin-Ind-Pres-S3 pron|her-Prs-Gen-S3 noun|willie ?	No_Error_Detected
I can see her willie .	pron|I-Prs-Nom-S1 aux|can-Fin-S verb|see-Inf-S pron|her-Prs-Acc-S3 noun|willie-Acc .	No_Error_Detected
I don't like this .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|like-Inf-S pron|this-Dem-S1 .	No_Error_Detected
do you mum ?	aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|mum-Inf-S ?	No_Error_Detected
mum &-er I might play this game upstair(s) .	noun|mum pron|I-Prs-Nom-S1 aux|might-Fin-S verb|play-Inf-S det|this-Def-Dem-Sing noun|game-Acc adv|upstairs .	No_Error_Detected
I'll show you now .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|show-Inf-S pron|you-Prs-Acc-S2 adv|now .	No_Error_Detected
don't know where it is .	aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-Imp-S adv|where pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 .	No_Error_Detected
I don't wanna do that .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not adv|wanna verb|do-Inf-S pron|that-Dem .	No_Error_Detected
I'll go off to play the game .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|go-Inf-S adp|off part|to verb|play-Inf-S det|the-Def-Art noun|game-Acc .	No_Error_Detected
I'll show you .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|show-Inf-S pron|you-Prs-Acc-S2 .	No_Error_Detected
I'll show you .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|show-Inf-S pron|you-Prs-Acc-S2 .	No_Error_Detected
I am blue .	pron|I-Prs-Nom-S1 aux|be-Fin-Ind-Pres-S1 adj|blue-S1 .	No_Error_Detected
I am blue mum .	pron|I-Prs-Nom-S1 aux|be-Fin-Ind-Pres-S1 adj|blue-S1 noun|mum .	No_Error_Detected
<(be)cause I'm> [/] (be)cause I'm a boy .	sconj|because pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 det|a-Ind-Art noun|boy .	No_Error_Detected
mum &-um know which picture I will have ?	noun|mum verb|know-Fin-Ind-Pres-S det|which-Def-Int noun|picture-Acc pron|I-Prs-Nom-S1 aux|will-Fin-S verb|have-Inf-S ?	No_Error_Detected
I'm going first mum .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|go-Part-Pres-S adj|first-S1 noun|mum-Acc .	No_Error_Detected
I'll go first okay ?	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|go-Inf-S adv|first intj|okay ?	No_Error_Detected
I can see yours on here .	pron|I-Prs-Nom-S1 aux|can-Fin-S verb|see-Inf-S pron|your-Prs-S2 adp|on adv|here .	No_Error_Detected
xxx well I wanna xxx .	intj|well pron|I-Prs-Nom-S1 aux|wanna-Fin-Ind-Pres-S1 .	No_Error_Detected
did you see it then ?	aux|do-Fin-Ind-Past-S2-irr pron|you-Prs-Nom-S2 verb|see-Inf-S pron|it-Prs-Acc-S3 adv|then ?	No_Error_Detected
have you got beard like over there ?	aux|have-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|get-Part-Past-S-irr noun|beard-Acc intj|like adp|over adv|there ?	No_Error_Detected
has he got beard ?	aux|have-Fin-Ind-Pres-S3 pron|he-Prs-Nom-S3 verb|get-Part-Past-S-irr noun|beard-Acc ?	No_Error_Detected
he has !	pron|he-Prs-Nom-S3 aux|have-Fin-Ind-Pres-S3 !	No_Error_Detected
has yours ?	aux|have-Fin-Ind-Pres-S3 pron|your-Prs-S2 ?	No_Error_Detected
has yours got hats on ?	aux|have-Fin-Ind-Pres-S3 pron|your-Prs-S2 verb|get-Part-Past-S-irr noun|hat-Plur-Acc adp|on ?	No_Error_Detected
mummy has that got a hat on ?	noun|mummy aux|have-Fin-Ind-Pres-S3 pron|that-Dem verb|get-Part-Past-S-irr det|a-Ind-Art noun|hat-Acc adp|on ?	No_Error_Detected
you're winning .	pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 verb|win-Part-Pres-S .	No_Error_Detected
has yours got glasses on ?	aux|have-Fin-Ind-Pres-S3 pron|your-Prs-S2 verb|get-Part-Past-S-irr noun|glasses-Ptan-Acc adp|on ?	No_Error_Detected
that [/] that has got glasses on .	pron|that-Dem aux|have-Fin-Ind-Pres-S3 verb|get-Part-Past-S-irr noun|glasses-Ptan-Acc adp|on .	No_Error_Detected
has he got them ?	aux|have-Fin-Ind-Pres-S3 pron|he-Prs-Nom-S3 verb|get-Part-Past-S-irr pron|they-Prs-Acc-P3 ?	No_Error_Detected
no just knocked them down .	intj|no adv|just verb|knock-Fin-Ind-Past-S3 pron|they-Prs-Acc-P3 adp|down .	No_Error_Detected
has yours got glasses on ?	aux|have-Fin-Ind-Pres-S3 pron|your-Prs-S2 verb|get-Part-Past-S-irr noun|glasses-Ptan-Acc adp|on ?	No_Error_Detected
has [/] has got glasses xxx +/.	aux|have-Fin-Ind-Pres-S3 verb|get-Part-Past-S-irr noun|glasses-Ptan-Acc +/.	No_Error_Detected
has yours got white hair ?	aux|have-Fin-Ind-Pres-S3 pron|your-Prs-S2 verb|get-Part-Past-S-irr adj|white-S1 noun|hair-Acc ?	No_Error_Detected
no that [/] that hasn't .	intj|no pron|that-Rel aux|have-Fin-Ind-Pres-S3~part|not .	No_Error_Detected
can I have that one ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|have-Inf-S det|that-Def-Dem-Sing noun|one-Acc ?	No_Error_Detected
can I play again ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|play-Inf-S adv|again ?	No_Error_Detected
did you hee [: see] that ?	aux|do-Fin-Ind-Past-S2-irr pron|you-Prs-Nom-S2 verb|see-Inf-S pron|that-Dem ?	No_Error_Detected
did you see that then ?	aux|do-Fin-Ind-Past-S2-irr pron|you-Prs-Nom-S2 verb|see-Inf-S pron|that-Dem adv|then ?	No_Error_Detected
they have turn first ?	pron|they-Prs-Nom-P3 aux|have-Fin-Ind-Pres-P3 verb|turn-Inf-S adj|first-S1 ?	No_Error_Detected
has yours got black hair ?	aux|have-Fin-Ind-Pres-S3 pron|your-Prs-S2 verb|get-Part-Past-S-irr adj|black-S1 noun|hair-Acc ?	No_Error_Detected
no <haven't &-er look> [//] oh I haven't looked at it yet .	intj|no intj|oh pron|I-Prs-Nom-S1 aux|have-Fin-Ind-Pres-S1~part|not verb|look-Part-Past-S adp|at pron|it-Prs-Acc-S3 adv|yet .	No_Error_Detected
no (.) I think so that one ?	intj|no pron|I-Prs-Nom-S1 verb|think-Fin-Ind-Pres-S1 adv|so det|that-Def-Dem-Sing num|one ?	No_Error_Detected
has yours got hat on ?	aux|have-Fin-Ind-Pres-S3 pron|your-Prs-S2 verb|get-Part-Past-S-irr noun|hat-Acc adp|on ?	No_Error_Detected
I have won again .	pron|I-Prs-Nom-S1 aux|have-Fin-Ind-Pres-S1 verb|win-Part-Past-S-irr adv|again .	No_Error_Detected
I'll play it again .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|play-Inf-S pron|it-Prs-Acc-S3 adv|again .	No_Error_Detected
has yours got black hair ?	aux|have-Fin-Ind-Pres-S3 pron|your-Prs-S2 verb|get-Part-Past-S-irr adj|black-S1 noun|hair-Acc ?	No_Error_Detected
that's got a hat on .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 verb|get-Part-Past-S-irr det|a-Ind-Art noun|hat-Acc adp|on .	No_Error_Detected
we just did that one .	pron|we-Prs-Nom-P1 adv|just verb|do-Fin-Ind-Past-P1-irr det|that-Def-Dem-Sing num|one .	No_Error_Detected
mum I've got a picture of him .	noun|mum pron|I-Prs-Nom-S1~aux|have-Fin-Ind-Pres-S1 verb|get-Part-Past-S-irr det|a-Ind-Art noun|picture-Acc adp|of pron|he-Prs-Acc-S3 .	No_Error_Detected
<what going> [/] what going do now ?	pron|what-Int-S1 verb|go-Ger-S verb|do-Inf-S adv|now ?	No_Error_Detected
will you ?	aux|will-Fin-S pron|you-Prs-Nom-S2 ?	No_Error_Detected
I don't want play this mum I don't (.) wanna do one like that .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|want-Inf-S verb|play-Inf-S det|this-Def-Dem-Sing noun|mum-Acc pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not adv|wanna verb|do-Inf-S num|one adp|like pron|that-Dem .	No_Error_Detected
no wanna do it like that and you can pick them up .	intj|no intj|wanna verb|do-Fin-Imp-S pron|it-Prs-Acc-S3 adp|like pron|that-Dem cconj|and pron|you-Prs-Nom-S2 aux|can-Fin-S verb|pick-Inf-S pron|they-Prs-Acc-P3 adp|up .	No_Error_Detected
don't wanna do this puzzle .	aux|do-Fin-Imp-S~part|not part|wana verb|do-Fin-Imp-S det|this-Def-Dem-Sing noun|puzzle-Acc .	No_Error_Detected
what can we do now ?	pron|what-Int-S1 aux|can-Fin-S pron|we-Prs-Nom-P1 verb|do-Inf-S adv|now ?	No_Error_Detected
I don't wanna .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|wanna-Inf-S .	No_Error_Detected
I don't wanna tidy up .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|wanna-Inf-S verb|tidy-Inf-S adp|up .	No_Error_Detected
don't know what to do mum .	aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S pron|what-Int-S1 part|to verb|do-Inf-S noun|mum-Acc .	No_Error_Detected
so all (p)eople can see them when they tome [: come] past .	adv|so det|all-Def-Tot noun|person-Plur aux|can-Fin-S verb|see-Inf-S pron|they-Prs-Acc-P3 adv|when pron|they-Prs-Nom-P3 verb|come-Fin-Ind-Pres-P3 adv|past .	No_Error_Detected
was it you ?	aux|be-Fin-Ind-Past-S3-irr pron|it-Prs-Nom-S3 pron|you-Prs-Acc-S2 ?	No_Error_Detected
yeah this is it .	intj|yeah pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .	No_Error_Detected
yeah this is it .	intj|yeah pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .	No_Error_Detected
this is it .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .	No_Error_Detected
not in it mum it's not in it .	part|not adp|in pron|it-Prs-Acc-S3 noun|mum pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not adp|in pron|it-Prs-Acc-S3 .	No_Error_Detected
oh it's there .	intj|oh pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|there .	No_Error_Detected
(be)cause it's new ?	sconj|because pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|new-S1 ?	No_Error_Detected
I don't know what to do mum .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S pron|what-Int-S1 part|to verb|do-Inf-S noun|mum-Acc .	No_Error_Detected
is them real or just made up ?	aux|be-Fin-Ind-Pres-S3 pron|they-Prs-Acc-P3 adj|real-S1 cconj|or adv|just verb|make-Part-Past-S-irr adp|up ?	No_Error_Detected
not very loads .	part|not adv|very noun|load-Plur .	No_Error_Detected
that [/] that is not (.) that car moves .	pron|that-Dem aux|be-Fin-Ind-Pres-S3 part|not det|that-Def-Dem-Sing noun|car verb|move-Fin-Ind-Pres-S3 .	No_Error_Detected
no it's ice (a)s_well .	intj|no pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 noun|ice adv|aswell .	No_Error_Detected
ahem hat ahem +...	intj|ahem noun|hat adv|ahem +...	No_Error_Detected
that is a road coming out .	pron|that-Dem aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|road verb|come-Ger-S adp|out .	No_Error_Detected
yeah (be)cause got legs there .	intj|yeah sconj|because verb|get-Part-Past-S-irr noun|leg-Plur-Acc adv|there .	No_Error_Detected
(be)cause his legs [/] legs under there .	sconj|because pron|his-Prs-Gen-S3 noun|leg-Plur adp|under adv|there .	No_Error_Detected
I wanna have some food right now .	pron|I-Prs-Nom-S1 aux|wanna-Fin-Ind-Pres-S1 verb|have-Fin-Ind-Pres-S1 det|some-Def-Ind noun|food-Acc adv|right adv|now .	No_Error_Detected
yeah I can (re)member I go (.) (re)member I go &-um John goes I [/] I [/] I do some bowling .	intj|yeah pron|I-Prs-Nom-S1 aux|can-Fin-S verb|remember-Inf-S pron|I-Prs-Nom-S1 verb|go-Fin-Ind-Pres-S1 verb|remember-Inf-S pron|I-Prs-Nom-S1 verb|go-Fin-Ind-Pres-S1 propn|John verb|go-Fin-Ind-Pres-S3 pron|I-Prs-Nom-S1 verb|do-Fin-Ind-Pres-S1 det|some-Def-Ind noun|bowling-Acc-Ger .	No_Error_Detected
no just blue class .	det|no-Def-Neg adv|just adj|blue-S1 noun|class .	No_Error_Detected
I know this walk up walk up thing and nothing here xxx jump .	pron|I-Prs-Nom-S1 verb|know-Fin-Ind-Pres-S1 det|this-Def-Dem-Sing verb|walk-Inf-S adp|up verb|walk-Inf-S adp|up noun|thing-Acc-Ger cconj|and pron|nothing-Neg-S1 adv|here verb|jump-Fin-Ind-Pres-S3 .	No_Error_Detected
then jump off it .	adv|then verb|jump-Fin-Imp-S adp|off pron|it-Prs-Acc-S3 .	No_Error_Detected
not were blown [: brown] (.) were this color you got .	part|not aux|be-Fin-Ind-Past-P3-irr adj|brown-S1 aux|be-Fin-Ind-Past-P3-irr det|this-Def-Dem-Sing noun|color pron|you-Prs-Nom-S2 verb|get-Fin-Ind-Past-S2-irr .	No_Error_Detected
<no games there> [<] .	det|no-Def-Neg noun|game-Plur adv|there .	No_Error_Detected
what are them ?	pron|what-Int-S1 aux|be-Fin-Ind-Pres-P3 pron|they-Prs-Acc-P3 ?	No_Error_Detected
I don't know !	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S !	No_Error_Detected
I do .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1 .	No_Error_Detected
(be)cause I am bit bigger .	sconj|because pron|I-Prs-Nom-S1 aux|be-Fin-Ind-Pres-S1 noun|bit adj|big-Cmp-S1 .	No_Error_Detected
no I say yes can't say yes .	intj|no pron|I-Prs-Nom-S1 verb|say-Fin-Ind-Pres-S1 intj|yes aux|can-Fin-S~part|not verb|say-Inf-S intj|yes .	No_Error_Detected
yeah (.) thlee [: three] times two we go (s)chool and one &-um one <in the> [//] when we go home .	intj|yeah num|three noun|time-Plur num|two pron|we-Prs-Nom-P1 verb|go-Fin-Ind-Pres-P1 noun|school-Acc cconj|and num|one noun|one adv|when pron|we-Prs-Nom-P1 verb|go-Fin-Ind-Pres-P1 adv|home .	No_Error_Detected
had a drink long time (be)cause &-um +...	verb|have-Fin-Ind-Past-S1-irr det|a-Ind-Art noun|drink adj|long-S1 noun|time-Acc adv|because +...	No_Error_Detected
blackcurrant sometimes .	noun|blackcurrant adv|sometimes .	No_Error_Detected
no I want something now !	intj|no pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 pron|something-Ind-S1 adv|now !	No_Error_Detected
oh can do Timmy .	intj|oh aux|can-Fin-S verb|do-Inf-S propn|Timmy-Acc .	No_Error_Detected
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .	No_Error_Detected
<I get up> [/] I get up (a)gain I get +...	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Pres-S1 adp|up adv|again pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Pres-S1 +...	No_Error_Detected
not very late (.) when [/] when grandma go .	part|not adv|very adj|late-S1 adv|when noun|grandma verb|go-Fin-Ind-Pres-S3 .	No_Error_Detected
not when grandad .	part|not adv|when noun|grandad .	No_Error_Detected
bed early .	noun|bed adv|early .	No_Error_Detected
he was asleep in Gary's room yeah .	pron|he-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3-irr adj|asleep-S1 adp|in propn|Gary~part|s noun|room intj|yeah .	No_Error_Detected
and I go in bed (.) he just woked [: woke] [*] up .	cconj|and pron|I-Prs-Nom-S1 verb|go-Fin-Ind-Pres-S1 adp|in noun|bed pron|he-Prs-Nom-S3 adv|just verb|wake-Fin-Ind-Past-S3-irr adp|up .	No_Error_Detected
<I'm not> [/] I'm not going bed .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not verb|go-Part-Pres-S noun|bed-Acc .	No_Error_Detected
but not when I turn all lights off .	cconj|but part|not adv|when pron|I-Prs-Nom-S1 verb|turn-Fin-Ind-Pres-S1 det|all-Def-Tot noun|light-Plur-Acc adp|off .	No_Error_Detected
I'm not !	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not !	No_Error_Detected
I'm not .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not .	No_Error_Detected
I can't read it .	pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|read-Inf-S pron|it-Prs-Acc-S3 .	No_Error_Detected
and what that one again ?	cconj|and pron|what-Int-S1 det|that-Def-Dem-Sing noun|one adv|again ?	No_Error_Detected
